1 , EL1 , 7773386.259789076 , 590038.0593398979 , 783.2730
2 , COTA , 7773385.824792615 , 590037.4383401113 , 782.7050
3 , EL2 , 7773384.812800873 , 590035.9913406114 , 782.2400
4 , COTA , 7773384.290805117 , 590035.2463408684 , 781.6780
5 , EL3 , 7773383.364812663 , 590033.9233413257 , 781.0840
6 , COTA , 7773382.756817622 , 590033.0543416259 , 780.6890
7 , EL4 , 7773381.916824456 , 590031.8553420394 , 780.1210
8 , COTA , 7773381.221830111 , 590030.8633423813 , 779.6560
9 , EL5 , 7773380.468836252 , 590029.7873427537 , 779.0940
10 , COTA , 7773379.687842622 , 590028.6713431397 , 778.5000
11 , EL6 , 7773378.949846805 , 590027.7863433002 , 778.1050
12 , COTA , 7773378.282853014 , 590026.7623437155 , 777.5370
13 , EL7 , 7773377.809860285 , 590025.7713443305 , 777.0720
14 , COTA , 7773377.183864533 , 590024.9563445445 , 776.5100
15 , EL8 , 7773376.516868251 , 590024.1623446831 , 775.9160
16 , COTA , 7773375.728872797 , 590023.2103448632 , 775.3320
17 , EL9 , 7773375.19587676 , 590022.4843450853 , 774.7170
18 , CR , 7773375.117881281 , 590022.0143455561 , 774.5070
19 , COTA , 7773374.503879605 , 590021.7543451156 , 773.8170
20 , EL10 , 7773373.990885958 , 590020.8213456119 , 773.0630
21 , COTA , 7773373.1468809955 , 590020.7093447091 , 772.2600
22 , EL11 , 7773372.028876324 , 590020.385343727 , 771.7280
23 , COTA , 7773370.829873476 , 590019.8383429133 , 771.2430
24 , EL12 , 7773369.739867851 , 590019.6213418368 , 770.7470
25 , COTA , 7773368.737864864 , 590019.2203410884 , 770.0990
26 , EL13 , 7773367.604860072 , 590018.8973400864 , 769.7570
27 , COTA , 7773366.866858063 , 590018.5843395583 , 769.2340
28 , EL14 , 7773366.778852023 , 590019.0823388487 , 767.5440
29 , COTA , 7773366.041853089 , 590018.4863386629 , 766.6540
30 , EL15 , 7773365.474848387 , 590018.5373379043 , 766.3200
31 , EL16 , 7773364.870845085 , 590018.4343372865 , 766.0820
32 , COTA , 7773363.874844591 , 590017.8073368205 , 765.9720
33 , EL17 , 7773362.462838703 , 590017.3973355809 , 765.7530
34 , COTA , 7773361.50883646 , 590016.9603349369 , 765.7720
35 , EL18 , 7773359.958829617 , 590016.5453335334 , 765.7770
36 , COTA , 7773359.052826814 , 590016.1923328472 , 765.8060
37 , EL19 , 7773357.552820848 , 590015.7303315622 , 765.8860
38 , COTA , 7773356.480816571 , 590015.4013306431 , 766.1750
39 , EL20 , 7773355.267810712 , 590015.1233294893 , 766.8020
40 , COTA , 7773354.261806592 , 590014.8243286149 , 767.1660
41 , EL21 , 7773352.773799481 , 590014.4763272081 , 767.4200
42 , COTA , 7773351.790796083 , 590014.1263264227 , 767.3190
43 , EL22 , 7773350.379794013 , 590013.3653256099 , 767.0940
44 , COTA , 7773349.504794389 , 590012.7403252913 , 766.8810
45 , EL23 , 7773348.113788639 , 590012.3323240759 , 766.8460
46 , COTA , 7773347.207787899 , 590011.7893236205 , 766.8090
47 , EL24 , 7773345.687782021 , 590011.3063223372 , 766.8300
48 , COTA , 7773344.820779962 , 590010.9113217501 , 766.7370
49 , EL25 , 7773343.316775795 , 590010.2813206653 , 766.6690
50 , COTA , 7773342.486776894 , 590009.6203204468 , 766.6450
51 , EL26 , 7773341.026772648 , 590009.027319371 , 766.6120
52 , COTA , 7773340.163772173 , 590008.4893189622 , 766.5930
53 , EL27 , 7773338.878769664 , 590007.8543181533 , 766.7800
54 , COTA , 7773337.917770002 , 590007.175317795 , 766.8630
55 , EL28 , 7773336.75476663 , 590006.7023169396 , 766.9780
56 , COTA , 7773335.910764124 , 590006.3643163124 , 766.8550
57 , EL29 , 7773334.766764363 , 590005.5713158685 , 766.1400
58 , COTA , 7773333.727761573 , 590005.1283151296 , 765.7420
59 , EL30 , 7773332.479765436 , 590003.9313150466 , 765.3680
60 , COTA , 7773331.199759333 , 590003.6313138392 , 765.5000
61 , EL31 , 7773330.43176074 , 590002.9843136795 , 766.0680
62 , COTA , 7773329.378759378 , 590002.4003130945 , 765.9420
63 , EL32 , 7773328.198758381 , 590001.6973124978 , 765.8320
64 , COTA , 7773326.882754078 , 590001.207311476 , 765.8440
65 , EL33 , 7773325.843755361 , 590000.3893111922 , 765.8570
66 , COTA , 7773324.647753814 , 589999.7263105283 , 765.8290
67 , EL34 , 7773323.632752387 , 589999.1743099507 , 765.8330
68 , COTA , 7773322.408748586 , 589998.7003090228 , 765.9070
69 , EL35 , 7773321.352747109 , 589998.1253084253 , 765.9180
70 , COTA , 7773320.155747142 , 589997.3163079369 , 765.9640
71 , EL36 , 7773319.099743125 , 589996.9753070546 , 765.9850
72 , COTA , 7773318.04074367 , 589996.2123066796 , 765.9650
73 , EL37 , 7773316.987741023 , 589995.7473059521 , 766.0050
74 , COTA , 7773315.7917401865 , 589995.0193053674 , 765.9520
75 , EL38 , 7773314.583735647 , 589994.624304364 , 766.0280
76 , COTA , 7773313.571735017 , 589994.0013038777 , 766.0340
77 , EL39 , 7773312.408732871 , 589993.4163031614 , 766.0670
78 , EL40 , 7773310.078725837 , 589992.4963014191 , 766.3810
79 , EL41 , 7773307.955719623 , 589991.6402998532 , 767.1870
80 , EL42 , 7773306.333720902 , 589990.431299331 , 768.7050
81 , EL43 , 7773304.0467086155 , 589990.0242970198 , 768.7670
82 , COTA , 7773302.641703347 , 589989.5642958552 , 768.5300
83 , EL44 , 7773301.590698005 , 589989.3492948273 , 768.7680
